user_id,inf,weibo_num,focus_num,fans_num
湖南旅游,??女/湖南    ??    ,25171,1172,573718
协和眼科Dr刘w伟,??男/湖北    ??    ,4458,1567,960023
没有人比我更懂杭之冯玥,??男/北京    ??    ,82445,1884,6825450
主持人扬帆,??男/其他    ??    ,2165,82,1152799
作家崔成浩,??男/其他    ??    ,12674,0,5023963
黄智贤星球,??女/台湾    ??    ,1889,54,977668
飞碟说,??男/上海    ??    ,30543,1922,7826923
倦了0226,??男/河南    ??    ,10401,650,18646
参考消息,??男/北京    ??    ,74202,137,13608938
广西卫视,??男/广西    ??    ,38452,1901,659161
国际货币基金组织,??女/海外    ??    ,2686,23,288498
思想火炬,??男/北京    ??    ,21886,52,2981968
笑大侠,??男/广西    ??    ,91615,2037,1197875
龙立新Aaron,??男/北京    ??    ,28246,1255,1225203
翟医师,??男/河南    ??    ,8252,392,864092
邓伦公益组,??男/北京    ??    ,943,109,185147
北京头条,??男/北京    ??    ,125253,4301,26749322
武汉吃喝玩乐游,??女/湖北    ??    ,7590,459,5010121
江苏玖亚电气,??男/江苏    ??    ,96,222,12859
Lady_-_NaNa??女/湖北    ??    ,你自己非要45度的仰视别人，就别怪别人135度俯视你。。。,5158,490,766
微博韩流,??女/北京    ??    ,19872,3207,4215040
股市女人,??女/其他    ??    ,19255,188,573826
老马自奋蹄,??男/北京    ??    ,64665,3808,887128
brainnews脑科学新闻,??男/海外    ??    ,20701,466,260331
扬子晚报,??男/江苏    ??    ,175969,1786,18433673
生活晨报,??男/山西    ??    ,58704,889,489160
弹药补给君,??男/其他    ??    ,10176,114,415091
近视矫正医师李伟力,??男/广东    ??    ,1743,1620,227426
叶子淇AnnaKay,??女/其他    ??    ,1761,278,2443222
杨士传律师,??男/山东    ??    ,1422,634,671476
CGTN,??男/北京    ??    ,65536,126,5509587
和光者??男/海外    ??    ,当下觉察一切如是,19744,295,235590
心理师任苇,??女/北京    ??    ,1592,14251,2085865
汪汪特工队副队长,??女/其他    ??    ,5893,367,397
飞象网项立刚,??男/北京    ??    ,67934,2608,1214202
呵呵帝HED,??男/辽宁    ??    ,17298,727,37110
达拉斯独行侠,??男/其他    ??    ,12567,188,6316331
DaiDakey??男/广东    ??    ,求知若饥 虚心若愚 无容无财 或黑或白,1,2,273
Wonderful-wdf,??男/湖北    ??    ,154,207,407
币圈黄埔军校,??男/江西    ??    ,20280,1262,363236
咱厝人-陳陳,??男/福建    ??    ,8323,497,1724572
妇产科的陈大夫,??女/江苏    ??    ,8328,1012,2289974
杨澜,??女/北京    ??    ,8769,233,40355721
新浪浙江,??女/浙江    ??    ,70967,5220,1724204
导演米家山,??男/北京    ??    ,10199,654,234590
鲨鱼电影,??男/辽宁    ??    ,8628,846,4420973
沈阳沈北公安,??男/辽宁    ??    ,63775,519,129855
宋药师,??男/河北    ??    ,58603,1005,1008092
郎咸平,??男/上海    ??    ,1437,28,17542054
中央人民广播电台,??男/北京    ??    ,49843,879,5493005
职业小散-刘昌松,??男/北京    ??    ,8699,6,919006
橘子娱乐,??女/北京    ??    ,57756,1153,8095344
仍信永久,??女/海外    ??    ,55677,291,18055
中国联通,??男/北京    ??    ,36360,523,7357756
俞敏洪,??男/北京    ??    ,1671,198,15835503
南充网警巡查执法,??男/四川    ??    ,6247,696,19103
蜘蛛的蛛蛛,??女/湖北    ??    ,2966,76,205
韩国me2day,??男/海外    ??    ,229823,215,26522444
